Over #,Ball #,Bowler Name+Cricinfo Link,Batsman Name+Cricinfo Link,Class,Outcome,Total Runs ,Delivery Length,Delivery Line,Bowling Side,Delivery Speed,Delivery Type,Shot Type ,Shot Field Position,Hit Type,Ball Type,Out type,Umpire Actions,Field Activity 1 ,Field Activity 2 ,Field Activity 3 ,Other Actions 1,Other Actions 2
7,1,Shadab Khan,Tim Seifert ,Batsman,Dot,0,Unknown,On the off Stump,Unknown,Unknown,Unknown,Forward defence,Unknown,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
7,2,Shadab Khan,Tim Seifert ,Batsman,Six,6,Unknown,Outside off,Unknown,Unknown,Unknown,Sweep,Square Leg,Top Egde,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
7,3,Shadab Khan,Tim Seifert ,Batsman,Single,1,"Shadab Khan to Seifert, 1 run, fraction short and turning away, Seifert cracks it to sweeper cover",Outside off,Unknown,Unknown,Unknown,Unknown,Sweeper,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
7,4,Shadab Khan,Devon Conway ,Batsman,Single,1,Good length(6-8 m),On the off Stump,Unknown,Unknown,Unknown,Unknown,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
7,5,Shadab Khan,Tim Seifert ,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,Unknown,Unknown,Straight drive,Point,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
7,6,Shadab Khan,Tim Seifert ,Batsman,Double,2,Full length(5-6 m),On Middle stump,Unknown,125,Slower Ball,Unknown,Long Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
8,1,Faheem Ashraf,Devon Conway ,Batsman,Single,1,Full length(5-6 m),Outside off,Unknown,Unknown,Unknown,Unknown,Point,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
8,2,Faheem Ashraf,Tim Seifert ,Batsman,Dot,0,Good length(6-8 m),On the off Stump,Unknown,Unknown,Unknown,Cut,Unknown,Unknown,Legal,Bowled,Given Out,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
8,3,Faheem Ashraf,Glenn Phillips,Batsman,Dot,0,Full length(5-6 m),On the off Stump,Unknown,Unknown,Unknown,Unknown,Mid Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
8,4,Faheem Ashraf,Glenn Phillips,Batsman,Single,1,Unknown,On the stump,Unknown,Unknown,Unknown,Unknown,Fine Leg,Inside Edge ,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
8,5,Faheem Ashraf,Devon Conway ,Batsman,Single,1,Full length(5-6 m),Outside off,Unknown,Unknown,Unknown,Unknown,Cover,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
8,6,Faheem Ashraf,Glenn Phillips,Batsman,Single,1,Good length(6-8 m),On the off Stump,Unknown,Unknown,Unknown,Unknown,Mid On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
9,1,Shadab Khan,Glenn Phillips,Batsman,Dot,0,Unknown,Outside off,Unknown,Unknown,Leg Break,Unknown,Unknown,Outside Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
9,2,Shadab Khan,Glenn Phillips,Batsman,Double,2,Unknown,Unknown,Unknown,Unknown,Unknown,Straight drive,Long On,Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
9,3,Shadab Khan,Glenn Phillips,Batsman,Double,2,Unknown,Unknown,Unknown,Unknown,Unknown,Sweep,Mid Wicket,Top Egde,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
9,4,Shadab Khan,Glenn Phillips,Batsman,Single,1,Length (6-9 m),On the leg stump,Unknown,145,Unknown,Unknown,Point,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
9,5,Shadab Khan,Devon Conway ,Batsman,Dot,0,Full Toss (<0 m),Unknown,Unknown,134,Googly,Sweep,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
9,6,Shadab Khan,Devon Conway ,Batsman,Single,1,Full length(5-6 m),Unknown,Unknown,Unknown,Unknown,Unknown,Cover,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
10,1,Faheem Ashraf,Devon Conway ,Batsman,Four,4,Good length(6-8 m),On the off Stump,Unknown,Unknown,Unknown,Unknown,Mid Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
10,2,Faheem Ashraf,Devon Conway ,Batsman,Double,2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sweeper,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
10,3,Faheem Ashraf,Devon Conway ,Batsman,Single,1,Back of a length(8-9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Third Man,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
10,4,Faheem Ashraf,Glenn Phillips,Batsman,Dot,0,Back of a length(8-9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
10,5,Faheem Ashraf,Glenn Phillips,Batsman,Single,1,Short (>9 m),Wide on the off side,Unknown,Unknown,Unknown,Unknown,Backward,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
10,6,Faheem Ashraf,Devon Conway ,Batsman,Single,1,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Pull,Square Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
11,1,Shadab Khan,Devon Conway ,Batsman,Dot,0,Unknown,Unknown,Unknown,Unknown,Unknown,Sweep,Unknown,On the Pads,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
11,2,Shadab Khan,Devon Conway ,Batsman,Single,1,Short (>9 m),On middle stump,Unknown,Unknown,Unknown,Unknown,Fine Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
11,3,Shadab Khan,Glenn Phillips,Batsman,Triple,3,Unknown,Outside off,Unknown,Unknown,Unknown,Cut,Third Man,Outside Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
11,4,Shadab Khan,Devon Conway ,Batsman,Dot,0,Full Toss (<0 m),Unknown,Unknown,134,Googly,Unknown,Backward,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
11,5,Shadab Khan,Devon Conway ,Batsman,Dot,0,Full length(5-6 m),On middle stump,Unknown,125,Slower Ball,Unknown,Bowler,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
11,6,Shadab Khan,Devon Conway ,Batsman,Single,1,Unknown,Outside off,Unknown,Unknown,Unknown,Unknown,Long Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
12,1,Haris Rauf,Devon Conway ,Batsman,Single,1,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Pull,Fine Leg,Inside Edge ,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
12,2,Haris Rauf,Glenn Phillips,Batsman,Single,1,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Pull,Mid On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
12,3,Haris Rauf,Devon Conway ,Batsman,Single,1,Full length(5-6 m),Outside off,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
12,4,Haris Rauf,Glenn Phillips,Batsman,Single,1,Full length(5-6 m),On middle stump,Unknown,125,Slower Ball,Unknown,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
12,5,Haris Rauf,Devon Conway ,Batsman,Single,1,Good length(6-8 m),Unknown,Unknown,Unknown,Unknown,Unknown,Mid Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
12,6,Haris Rauf,Glenn Phillips,Batsman,Four,4,Short (>9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Sweeper,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
